type,indicator,sessions,context
ip,110.173.190.221,7135845,"AS17426 (Primesoftex Ltd), India, classified malicious. The period's highest-volume single source. SSH only: 6,902,883 SSH Connection Attempt sessions and 653,319 SSH Bruteforcer sessions, 20% of all SSH brute-force activity observed. Its web signatures are marginal by comparison (Generic Path Traversal 92, Generic Sensitive File Access 63, XSS 1), so this is a credential attack host, not a web exploitation host. Rented; the address is perishable, so pair it with the SSH Bruteforcer tag."
ip,213.5.130.217,2437369,"AS34534 (FBW NETWORKS SAS), France, classified malicious. Same shape as 110.173.190.221: 2,437,232 SSH Connection Attempt sessions and 398,502 SSH Bruteforcer sessions, 12% of all SSH brute-force activity observed. Between them the two hosts supplied 32% of observed SSH Bruteforcer sessions. Rented; pair with the SSH Bruteforcer tag instead of relying on the address."
ip,62.164.177.54,1204795,"AS215929 (Data Campus Limited), Netherlands, classified malicious. RDP crawling at 1,156,774 RDP Crawler sessions, 14% of all RDP crawling observed, plus 21,172 RDP Bruteforce Attempt sessions, 4% of all RDP credential attempts. Carried in this series since the 2026-07-06 brief; 2,519,647 connection attempts in the 2026-08-17 brief against 1,204,795 here, roughly 49% lower per day. Rented and perishable."
ip,193.142.147.109,791227,"AS213438 (ColocaTel Inc.), Netherlands, classified malicious. 651,939 RDP Crawler sessions, 8% of all RDP crawling observed, and 13,145 RDP Bruteforce Attempt sessions. Also carries 3,104 Cisco ASA Scanner sessions, making it the only host among the period's highest-volume sources that pairs RDP credential attacks with enterprise VPN reconnaissance. With 62.164.177.54 it supplied 21% of all RDP crawling and 7% of all RDP credential attempts observed."
ip,213.209.159.175,907350,"AS208137 (Feo Prest SRL), Germany, classified malicious. The most behaviorally diverse host in the top 15, carrying 34 distinct tags this period. Secret and configuration file harvesting: 243,969 ENV Crawler sessions (6% of the corpus-wide 4,248,409), 114,263 Generic Sensitive File Access Attempt, 29,966 Git Config Crawler, 11,155 Spring Boot Actuator Crawler. Also 6,081 of the 19,791 TeleMessage CVE-2025-48927 exploitation attempts (31%) and 9,160 of the 44,154 Laravel CVE-2024-29291 attempts (21%). Carried in this series since the 2026-06-22 brief; 2,519,766 attempts in the 2026-08-10 brief, 1,600,580 in the 2026-08-17 brief, 907,350 here."
asn,AS201814,N/A,"MEVSPACE sp. z o.o. (Poland). Carries 45.141.233.0/24, whose 14 active hosts produced 9,048,832 connection attempts, the largest single active block of the period. The ASN carried 9,657,084 connection attempts in total this period, so the /24 accounts for nearly all of it. Do not block the ASN and do not block the /24. GreyNoise classifies two members of the range malicious, 45.141.233.86 and 45.141.233.145, and recommends a block on both. Restrict those two and resolve every other named host individually."
asn,AS208137,N/A,"Feo Prest SRL (Germany). Carries 213.209.159.0/24, whose 36 active hosts produced 2,509,584 connection attempts this period, of which 213.209.159.175 alone accounts for 907,350. Block-list behavior at the range level is not supported by this data; the durable control is the ENV Crawler and Generic Sensitive File Access Attempt tags. Carried in this series since the 2026-06-22 brief."
fingerprint,JA4T 64240_2-4-8-1-3_1460_7,49383043,"The period's highest-volume JA4T TCP client fingerprint. This figure is CORPUS-WIDE across every source GreyNoise observed this period. This week's data does not resolve the fingerprint to any individual host, so it must not be attributed to a specific IP or range. It marks a tool class and is a hunting pivot, not attribution: raise candidates with it, then confirm each on its own behavior before linking it to anything here."
fingerprint,JA4T 64240_2-1-3-1-1-4_1460_8,11633130,"Third highest-volume JA4T of the period. The 2026-08-17 brief tied this same fingerprint to the ten profiled hosts of the 45.141.233.0/24 port band sweep, and the 2026-07-31 brief carried it for an unrelated host pair. This figure is CORPUS-WIDE across every source GreyNoise observed this period. This week's data does not resolve the fingerprint to any individual host, so it must not be attributed to a specific IP or range. It marks a tool class and is a hunting pivot, not attribution: raise candidates with it, then confirm each on its own behavior before linking it to anything here."
fingerprint,JA4H ge11nn010000_4a823118b9ba_000000000000_000000000000,4100614,"The period's highest-volume JA4H HTTP client fingerprint prefix. This figure is CORPUS-WIDE across every source GreyNoise observed this period. This week's data does not resolve the fingerprint to any individual host, so it must not be attributed to a specific IP or range. It marks a tool class and is a hunting pivot, not attribution: raise candidates with it, then confirm each on its own behavior before linking it to anything here."
