type,indicator,sessions,context
cve,CVE-2019-12989,135,"Citrix SD-WAN SQL injection. CVSS 9.8 per NVD; in CISA KEV since 25 March 2022, the only KEV-listed CVE among the nine Citrix items in this brief, though the XenMobile Log4j check carries no CVE in its tag record and maps to a KEV-listed flaw. Local sensor connection attempts this period, from 24 unique sources on 30 August against between zero and three on every day from 23 to 29 August."
cve,CVE-2019-12986,133,"Citrix SD-WAN improper input validation, one of six in the same family. It carries no CVSS score and is NOT listed in CISA KEV, which is what places it at the bottom of a mandated-remediation queue. Local sensor connection attempts this period, from 24 unique sources on 30 August against between zero and three on every day from 23 to 29 August. No rate threshold fires on that shape; alert on first sighting instead."
cve,CVE-2020-8209,99,"Citrix XenMobile Server path traversal reaching unauthenticated file read. CVSS 7.5 per NVD; NOT listed in CISA KEV. The canonical GreyNoise tag name for this row, Citrix XenMobile Server Path Traversal, does not name the CVE; the tag record carries CVE-2020-8209 in its cves field. Local sensor connection attempts this period, from 24 unique sources on 30 August against between zero and three on every earlier day of the window. Counted as one item this ranks as minor; counted across the eight Citrix flaws that moved together on 30 August it is part of a single pass across three of one vendor's older edge products inside a single day. XenMobile holds authentication material for services beyond itself, so audit which accounts can reach its management interface and from which networks."
cidr,151.243.11.0/24,7991411,"AS209630 (LLC VASH KREDIT BANK), Germany. 41 active hosts, the highest-volume network in the four-network sweep of Finding 3. Do NOT block at the perimeter as a range: block the behavioral tags, and treat per-host restrictions as the perishable layer. Per-host restrictions are worth applying on 151.243.11.8 and 151.243.11.9, both classified malicious. Every profiled member was first observed during August 2026 and 151.243.11.9 first appeared on 23 August, the opening day of this window, so address-based controls here decay within days. Resolve every other member on its own record before restricting it. GreyNoise classifies 70 of the 256 members malicious, the densest of the four networks, and even there a range-level block reaches 186 addresses that carry no such classification."
cidr,45.194.67.0/24,6156474,"AS215925 (VPSVAULT[.]HOST LTD), United States. 37 active hosts, second-highest network in the Finding 3 sweep, carrying the same JA4H client fingerprint, the same self-declared scanning user agent and the same request path dictionary as the other three networks. Its highest-volume member ranks well below the top three of this period's source-volume ranking, so a top-talker list does not surface it. Resolve members individually and do not block the range; build the durable control on the co-occurring proxy scanning and crawler tags. Do NOT block at the perimeter as a range: GreyNoise classifies 32 of the 256 members malicious, so a range-level block is mostly collateral against co-tenants."
cidr,45.205.1.0/24,3978555,"AS215925 (VPSVAULT[.]HOST LTD), Brazil. 16 active hosts, third network in the Finding 3 sweep and sharing all four shared indicators with it. This series carried 45.205.1.0/24 from the 2026-03-02 brief through the 2026-06-22 brief for MikroTik RouterOS credential attacks from a different host set; the members here are distinct addresses in the same range. The sweep totals 96 hosts and 19,845,372 connection attempts across three autonomous systems, 9% of everything GreyNoise observed this period, so a control scoped to any single network covers less than half of it. Not every member is recent: 45.205.1.240 and 45.205.1.241 were first observed on 13 April 2026, so the August first-seen dates apply to the three highest-volume members only. Resolve members individually; hunt on the published user agent and the SOCKS5 and open proxy scanning tags that travel with it. Do NOT block at the perimeter as a range: GreyNoise classifies 13 of the 256 members malicious, so a range-level block is mostly collateral against co-tenants."
cidr,16.5.0.0/24,1718932,"AS401661 (EMBNEX, LLC), Brazil. The fourth network in the Finding 3 sweep, contributing its two highest-volume members, 16.5.0.132 and 16.5.0.133, both classified malicious. Both carry the shared JA4H client fingerprint and the FlowIQ scanning user agent. This network appears in no prior brief in this series. Do NOT block at the perimeter as a range: GreyNoise classifies 3 of the 256 members malicious, so a range-level block is mostly collateral against co-tenants. Resolve members individually."
cidr,45.141.233.0/24,5607506,"AS201814 (MEVSPACE), Poland. 23 active hosts, up from the 14 the 2026-08-23 brief counted, while combined volume fell from the 9,048,832 that brief recorded. DO NOT block at the perimeter as a range and do NOT file a provider abuse report against it on this evidence: GreyNoise classifies the three highest-volume members as unknown rather than malicious, and 98.9% of the range's traffic carries no behavioral tag at all. Behavioral tagging is almost entirely RDP: protocol activity at 60,959, crawling at 60,955 and credential attempts at 5,483, with nothing else above single digits. Resolve every member on its own record and restrict only those that carry a tag. What is measured across the active members is co-tenancy on this one /24 and that same three-tag profile. This range is NOT part of the Finding 3 sweep."
fingerprint,ge11nn040000_08e7224bf8c7_000000000000_000000000000,799891,"Shared JA4H HTTP client fingerprint linking sampled hosts across the four networks in the Finding 3 sweep. This is the full indexed value; match on all four fields. The sessions figure is CORPUS-WIDE across every source GreyNoise observed this period, not the sweep's own volume: the fingerprint appears on 1,380 sources in total, most of them outside the four named networks, and it identifies the HTTP portion of the activity rather than its protocol sweeping. That is why the sweep totals 19,845,372 connection attempts while this fingerprint accounts for 799,891. A shared fingerprint marks a tool class, not an operator, so it is a hunting pivot rather than attribution. It is treated as evidence of common tooling here only because three further indicators move with it: a shared core of CVEs in each host's 90-day history, a self-declared scanning user agent, and a request path dictionary carrying the same hardcoded session identifier string on hosts in different countries."
fingerprint,64240_2-4-8-1-3_1460_9,N/A,"Shared JA4T TCP fingerprint verified on 16.5.0.133, 45.194.67.44, 45.205.1.240 and 151.243.11.8, members of all four networks in the Finding 3 sweep. Match on this exact value only. It is a common Linux TCP-stack value and is not counted among the indicators that link these networks: treat it as a hunting pivot and corroboration, never as a selector or a block candidate."
fingerprint,ge11nn040000_e1d2031bdfea_000000000000_000000000000,3802608,"Shared JA4H HTTP client fingerprint carried by all five hosts of the VisionHeight cloud-hosted scanning fleet on AS16509, alongside two further JA4H values the same five share. This is the full indexed value; match on all four fields. The sessions figure is CORPUS-WIDE across every source GreyNoise observed this period, not the fleet's own volume: the fingerprint appears on 10,528 sources in total, most of them outside the five named hosts, and 1,286,469 of the 3,802,608 attempts come from those five. A shared fingerprint marks a tool class, not an operator, so it is a hunting pivot rather than attribution. It travels with the matching per-host tag profiles and the unvalidated reverse DNS record scan[.]visionheight[.]com that group the five."
user_agent,Mozilla/5.0 (compatible; FlowIQ/1.0; +https://flowiq-labs[.]com/scanning-info),N/A,"Self-declared scanning user agent published by the Finding 3 sweep, verified present on members of all four networks. Domain defanged. A variant string, FlowIQLabsBot/1.0, appears on some members of 45.205.1.0/24. This is the durable hunting selector for the HTTP portion of the activity, because the addresses rotate and the user agent has not. No session figure is asserted. A self-declared scanning identity is not a benignity claim: GreyNoise classifies these hosts malicious and recommends blocking their behavioral tags."
user_agent,"Mozilla/5.0 (compatible; Claude-User/1.0; +https://www.anthropic[.]com/claude-user)",6472,"FABRICATED AI-assistant user agent. The host sent the Claude-User/1.0 token under several distinct full user-agent strings; the sessions figure is this exact string's own volume on the single malicious host 34.77.142.86 on AS396982 (Google LLC), which presented 22 distinct fabricated assistant and bot identities across one burst of 5 hours 35 minutes on 27 and 28 August, of which 99.6% landed inside two hours. That host produced 861,036 connection attempts in total across the burst. Anthropic did not send this traffic. 27,416 of that host's requests targeted the Amazon EC2 instance metadata service for credentials and 43,004 were cloud configuration probes. Verify AI-crawler claims by source address, never by user agent string, and rotate any cloud credential an instance metadata service could have returned to an application carrying a Server-Side Request Forgery (SSRF) path."
user_agent,ChatGPT-User/1.0,N/A,"FABRICATED AI-assistant user agent presented by the same host as Claude-User/1.0, 34.77.142.86 on AS396982, inside one burst of 5 hours 35 minutes on 27 and 28 August, with 99.6% of the volume in two hours. OpenAI did not send this traffic. One of 22 distinct assistant and bot identities rotated by this single source. No independent session figure is asserted for this string. Treat the co-occurrence of several AI-assistant user agents from one address as the detection."
user_agent,GrokBot/1.0,N/A,"FABRICATED AI-assistant user agent presented by the same host as Claude-User/1.0, 34.77.142.86 on AS396982, inside one burst of 5 hours 35 minutes on 27 and 28 August, with 99.6% of the volume in two hours. xAI did not send this traffic. One of 22 distinct assistant and bot identities rotated by this single source. No independent session figure is asserted for this string."
user_agent,"Mozilla/5.0 (compatible; Perplexity-User/1.0; +https://perplexity[.]ai/perplexity-user)",6523,"FABRICATED AI-assistant user agent presented by the same host as the Claude-User/1.0 strings, and one of several full strings carrying the Perplexity-User/1.0 token. The sessions figure is this exact string's own volume on 34.77.142.86 on AS396982, inside one burst of 5 hours 35 minutes on 27 and 28 August, with 99.6% of the volume in two hours. Perplexity did not send this traffic. One of 22 distinct assistant and bot identities rotated by this single source."
user_agent,"Mozilla/5.0 (compatible; TelegramBot/1.0)",6913,"FABRICATED bot user agent presented by the same host as the Claude-User/1.0 strings, and one of several full strings carrying the TelegramBot/1.0 token. The sessions figure is this exact string's own volume on 34.77.142.86 on AS396982, inside one burst of 5 hours 35 minutes on 27 and 28 August, with 99.6% of the volume in two hours. Telegram did not send this traffic. This string ranks among the host's highest-volume user agents of the 22 identified, which is the argument against treating any single fabricated identity as the detection: verify by source address instead."
user_agent,Google-Extended/1.0,N/A,"FABRICATED crawler user agent presented by the same host as Claude-User/1.0, 34.77.142.86 on AS396982, inside one burst of 5 hours 35 minutes on 27 and 28 August, with 99.6% of the volume in two hours. Google-Extended is a robots.txt control token and not a crawler identity, so a request sending it as a user agent is self-evidently fabricated. One of 22 distinct assistant and bot identities rotated by this single source. No independent session figure is asserted for this string."
ip,16.5.0.133,1194839,"Malicious. AS401661 (EMBNEX, LLC, BR). Highest-volume member of 16.5.0.0/24, the fourth network in the Finding 3 sweep, carrying the identical JA4H client fingerprint as the 151.243.11.0/24 members. Nine of its tags sit in a flat band from 37,999 to 38,165 attempts, with a general SSH connection attempt tag just above it at 38,425; the eight-tag core of that band is shared with 151.243.11.8 and 151.243.11.9, which do not carry the MQTT protocol scanner in band. It ranks fourth in this period's source-volume ranking, which is the highest position any member of the sweep reaches. First observed 21 August 2026. Per-host restriction is perishable; the tag-based control outlasts it."
ip,34.77.142.86,861036,"Malicious. AS396982 (Google LLC, BE), rented cloud infrastructure. Presented 22 distinct fabricated AI-assistant and bot user agents inside one burst of 5 hours 35 minutes on 27 and 28 August, with 99.6% of the volume in two hours. 27,416 of its requests carried the EC2 IAM Credential Access Attempt tag and 43,004 the AWS Configuration Scanner tag. Rotate any cloud credential an instance metadata service could have returned to an application carrying a Server-Side Request Forgery (SSRF) path."
ip,151.243.11.8,1081436,"Malicious. AS209630 (LLC VASH KREDIT BANK, DE). Highest-volume member of the Finding 3 sweep's largest network, ranked sixth in this period's source-volume ranking. Eight of its tags sit within a few hundred attempts of one another at roughly 35,000 each, which is one sweep pass hitting one port each. Carries the shared JA4H client fingerprint, the FlowIQ user agent and the shared request path dictionary. First observed 20 August 2026. Per-host restriction is perishable; the tag-based control outlasts it."
ip,151.243.11.9,903715,"Malicious. AS209630 (LLC VASH KREDIT BANK, DE). Same toolkit and same shared fingerprints as 151.243.11.8, at roughly 28,900 per tag across the same flat band, ranked eleventh in this period's source-volume ranking. GreyNoise first observed it on 23 August, the opening day of this window, which is the measure of how fast address-based controls decay here."
ip,204.76.203.43,393777,"Malicious. AS51396 (Pfcloud UG, NL). Most of the period's 121,068 Hikvision IP camera remote code execution attempts (CVE-2021-36260) came from it, paired with HTTP PUT file upload attempts at comparable volume from the same host. The brief names it the priority per-host restriction of the seven it lists, and all seven classify malicious. Rented hosting: treat the block as perishable and build the durable control on the behavioral tags."
ip,213.209.159.154,704461,"Malicious. AS208137 (Feo Prest SRL, DE). One of the four highest-volume hosts among 40 active on this network this period, where the prior brief carried one; 213.209.159.136, is classified unknown and carries none of the file harvesting. 20 behavioral tags this period, led by Web Crawler at 507,183 and ENV Crawler at 405,901. Together with 213.209.159.175 it supplied 999,098 of the 5,874,516 ENV Crawler connection attempts observed this period, 17%."
ip,213.209.159.175,1803402,"Malicious. AS208137 (Feo Prest SRL, DE). Carried in this series since the 2026-06-22 brief. 33 behavioral tags this period, led by Web Crawler at 1,451,591 and ENV Crawler at 593,197, with Generic Sensitive File Access Attempt at 180,787. Supplied 7,746 of the 33,294 attempts against CVE-2025-48927, 23% of that KEV-listed tag."
asn,AS215925,10135029,"VPSVAULT[.]HOST LTD. This series has carried AS215925 since the 2025-12-15 brief. Two of the four Finding 3 networks sit on it, 45.194.67.0/24 (US) and 45.205.1.0/24 (BR), and the combined connection attempts across those two this period are given here. The sweep is not provider-bound: it also runs from AS209630 and AS401661, so an ASN-scoped control leaves the rest of it in place. Do not block at the ASN level. 45.198.224.26 also sits on this ASN and is NOT part of the Finding 3 sweep: it carries none of the four shared indicators, its CVE history is disjoint, and the brief tracks it separately. It carries telnet and SSH credential attempts this period; this series carried 45.198.224.0/24 in the 2026-05-26 brief for MikroTik RouterOS management API credential attacks."
