type,indicator,sessions,context
ip,34.19.127.210,1052452,"AS396982, United States, classified malicious. The Finding 3 source. Four unrelated target classes sit within 337 connection attempts of one another this period, carried across five tags: Cisco Smart Install Endpoint Scanner 52,837, T3 RMI Protocol and Weblogic Version Check 52,784, Oracle Weblogic RCE CVE-2018-2628 52,730, RDP Crawler 52,665 and Web Crawler 52,500, with RDP Bruteforce Attempt at 9,289 below them. The two WebLogic tags describe the same 52,730 connections. These tags overlap and are not additive. Its largest single behavior is generic TLS/SSL crawling at 146,106. GreyNoise first observed it on 22 February 2026. Per-host restriction is worth applying, and the blocks are perishable while the behavioral tags are not."
ip,193.32.204.199,1033237,"AS153622, Finland, classified malicious. The Finding 4 source. Git Config Crawler 667,717 and Generic Sensitive File Access Attempt 667,765 describe the same requests, 65% of everything the host did, and 24% of all Git Config Crawler activity in the corpus. GreyNoise first observed it on 01 September and last on 07 September, an active life entirely inside this window. Across the preceding 90 days it touched only ports 80, 443, 8000, 8080 and 8888 and presented more than a thousand distinct user agent strings, though 665,210 of its 667,717 repository configuration requests carried the single string l9explore/1.2.2."
ip,94.154.46.246,440072,"AS202412, Netherlands, classified malicious. Highest-volume member of the Finding 2 Googlebot-forging fleet. Per-host restriction is worth applying."
ip,94.154.46.247,438533,"AS202412, Netherlands, classified malicious. Member of the Finding 2 Googlebot-forging fleet. Per-host restriction is worth applying."
ip,94.154.46.245,425367,"AS202412, Netherlands, classified malicious. Member of the Finding 2 Googlebot-forging fleet. Per-host restriction is worth applying."
ip,94.154.46.249,401619,"AS202412, Netherlands, classified malicious. Member of the Finding 2 Googlebot-forging fleet, behaviorally identical to the rest: 257,261 forged Googlebot requests, 129,550 ENV Crawler attempts, 60,443 sensitive file requests, 13,579 WordPress enumeration attempts and 3,851 AWS configuration probes. These tags overlap on the same connections and are not additive. Per-host restriction is worth applying."
ip,94.154.46.244,423515,"AS202412, Netherlands, classified malicious. Member of the Finding 2 Googlebot-forging fleet. Per-host restriction is worth applying."
ip,94.154.46.243,384481,"AS202412, Netherlands, classified malicious. Member of the Finding 2 Googlebot-forging fleet. Per-host restriction is worth applying."
ip,212.181.252.130,5831714,"AS3301, Sweden, classified malicious. The period's highest-volume single source, on European tier-1 carrier address space rather than hosting. SSH Connection Attempt 5,720,773 with SSH Bruteforcer 46,548. Pull failed SSH authentications by source autonomous system, not by country, and check whether carrier space is excluded by policy."
ip,62.164.177.54,1760547,"AS215929, Netherlands, classified malicious. Carried in this series since the 2026-07-06 brief. RDP Crawler 1,700,472, 97% of its traffic, with RDP Bruteforce Attempt 29,286, under 2%, so a detection keyed to failed logins sees almost none of it."
cidr,16.5.0.0/24,12169321,"AS401661 (EMBNEX, LLC), Brazil. 14 active hosts, the fourth range in the multi-network scanning toolkit carried since the 2026-08-30 brief, whose members carry the shared JA4H fingerprint listed in the fingerprint rows of this file. Do NOT block at the perimeter as a range: resolve every member on its own GreyNoise record and build the durable control on the behavioral tags, because the addresses rotate and the toolkit does not."
cidr,94.154.46.0/24,3542101,"AS202412. Nine active hosts that forged the Googlebot identity across 63% of their traffic while running 1,116,152 ENV Crawler attempts, 521,404 sensitive file requests, 117,417 WordPress enumeration attempts and 33,214 AWS configuration probes. These tags overlap on the same connections and are not additive. Those nine supplied roughly two thirds of the 3,357,074 GoogleBot Pretender connection attempts observed corpus-wide. GreyNoise classifies all nine malicious. Do NOT block at the perimeter as a range: the members are rented addresses that rotate out, so a range block ages while the behavior continues from new space. Resolve every member on its own record, build the durable control on the GoogleBot Pretender tag, and apply per-host restrictions on 94.154.46.245, 94.154.46.246, 94.154.46.247 and 94.154.46.249."
cidr,213.209.159.0/24,3342417,"AS208137 (Feo Prest SRL). 49 active hosts against the 40 the 2026-08-30 brief counted, led by 213.209.159.154 at 868,474 and 213.209.159.136 at 858,228, while the originally tracked member 213.209.159.175 fell to 749,186. The toolkit is unchanged: environment file crawling, sensitive file requests and PHP information disclosure probing. Nine hosts were added without changing what the range does, which is capacity added to a running operation rather than a new toolkit. Do NOT block at the perimeter as a range; resolve every member on its own record."
cidr,130.12.180.0/24,1959302,"AS202412, the same autonomous system as 94.154.46.0/24 but a separate operation tracked separately. 21 active hosts. This series recorded the range in the 2026-03-13 brief for high-numbered port enumeration; it now runs RDP crawling and environment file collection instead. Do NOT block at the perimeter as a range; resolve every member on its own record and build the control on the behavioral tags."
cidr,45.194.67.0/24,9962086,"AS215925 (VPSVAULT[.]HOST LTD). 43 active hosts against the 37 the 2026-08-30 brief counted. Measured with 45.205.1.0/24 and 151.243.11.0/24 on the same basis as that brief, the three ranges hold 94 active hosts and produced 28,368,660 connection attempts this period. The toolkit is web crawling above a uniform per-protocol sweep with SOCKS5 and open proxy probing inside it. Do NOT block at the perimeter as a range; resolve every member on its own record."
cidr,45.205.1.0/24,7260043,"AS215925 (VPSVAULT[.]HOST LTD), Brazil. 15 active hosts against the 16 the 2026-08-30 brief counted. Part of the same three-range group as 45.194.67.0/24 and 151.243.11.0/24, which together produced 28,368,660 connection attempts this period. Do NOT block at the perimeter as a range; resolve every member on its own record and build the durable control on the behavioral tags."
cidr,151.243.11.0/24,11146531,"AS209630. 36 active hosts against the 41 the 2026-08-30 brief counted, the largest single decline in the three-range group. Part of the same group as 45.194.67.0/24 and 45.205.1.0/24, which together produced 28,368,660 connection attempts this period from 94 hosts, a host total unchanged from the prior brief with membership redistributed across the three ranges. Do NOT block at the perimeter as a range; resolve every member on its own record."
fingerprint,JA4H ge11nn040000_e1d2031bdfea_000000000000_000000000000,7698875,"Search: https://viz.greynoise.io/query/ja4h%3A%22ge11nn040000_e1d2031bdfea_000000000000_000000000000%22 . Shared JA4H HTTP client fingerprint carried by all five members of the VisionHeight cloud-hosted scanning fleet on AS16509, alongside matching per-host tag profiles. This is the full indexed value; match on all four fields. The sessions figure is CORPUS-WIDE across every source GreyNoise observed this period, not the fleet's own volume: the five fleet hosts together produced 4,688,194 connection attempts. The fingerprint covers roughly 45% of the five hosts' own volume, being the HTTP portion of their activity; their TLS and protocol sweeping does not carry it. A shared fingerprint marks a tool class, not an operator, so treat it as a hunting pivot rather than attribution or a block candidate."
fingerprint,JA4H ge11nn040000_08e7224bf8c7_000000000000_000000000000,1352993,"Search: https://viz.greynoise.io/query/ja4h%3A%22ge11nn040000_08e7224bf8c7_000000000000_000000000000%22 . Shared JA4H HTTP client fingerprint carried by the 16.5.0.0/24 members of the multi-network scanning toolkit on AS401661. This is the full indexed value; match on all four fields. The sessions figure is CORPUS-WIDE across every source GreyNoise observed this period, not the range's own volume: 16.5.0.0/24 produced 12,169,321 connection attempts from 14 hosts, and the fingerprint identifies only the HTTP portion of the activity rather than its protocol sweeping. A shared fingerprint marks a tool class, not an operator, so treat it as a hunting pivot rather than attribution."
user_agent,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html),2235399,"Forged crawler identity presented by the nine active hosts of 94.154.46.0/24 on AS202412, the Finding 2 fleet. The sessions figure is this exact string's own volume across those nine addresses this period. This is a correct Googlebot string, so the string alone is not the indicator and blocking on it would also block the real crawler: the indicator is the string arriving from a source address outside Google's published crawler ranges. Verify every inbound Googlebot claim by source address, then escalate any mismatch that also requests an environment file, a .git path or an AWS configuration path. The durable control is the GoogleBot Pretender tag, which GreyNoise recommends blocking."
user_agent,l9explore/1.2.2,665210,"High-precision client string for the Finding 4 source. 665,210 of the 667,717 repository configuration requests from 193.32.204.199 carried this single string. The host presented 1,049 distinct user agent strings in the window, but the other 1,047 account for 2,503 requests between them across everything it did, none appearing more than eight times. Key the primary detection on the request path, including the directory-prefixed variants of /.git/config, and alert on this string as a secondary indicator."
asn,AS202412,5501403,"Netherlands. Two ranges this series tracks sit here: 94.154.46.0/24, the nine-host Googlebot-forging fleet in Finding 2 at 3,542,101 connection attempts, and 130.12.180.0/24 at 21 active hosts and 1,959,302, which runs RDP crawling and environment file collection. The sessions figure is those two ranges combined. This series has carried AS202412 since the 2026-03-02 brief. Do not block at the ASN level. Resolve each address on its own record and build the durable control on the behavioral tags."
asn,AS208137,3342417,"Host network for 213.209.159.0/24, the secret and configuration file harvesting range carried in this series since the 2026-06-22 brief, which holds 49 active hosts this period at the combined volume given here. Do not block at the ASN level: the range mixes classifications, and 213.209.159.136 is classified unknown while its two highest-volume neighbors are malicious. Resolve each address on its own record."
asn,AS215925,17222129,"Two of the four multi-network scanning ranges sit here, 45.194.67.0/24 at 43 active hosts and 45.205.1.0/24 at 15, and the sessions figure is those two combined. This series has carried AS215925 since the 2025-12-15 brief. The same toolkit also runs from AS209630 and AS401661, which leaves an ASN-scoped control covering part of the activity only. Do not block at the ASN level."
asn,AS209630,11146531,"Host network for 151.243.11.0/24, one of the four multi-network scanning ranges, at 36 active hosts this period. Carried as a finding in the 2026-08-30 brief. The same toolkit also runs from AS215925 and AS401661, which leaves an ASN-scoped control covering part of the activity only. Do not block at the ASN level."
asn,AS401661,12169321,"Host network for 16.5.0.0/24, the fourth multi-network scanning range, at 14 active hosts and the volume given here, roughly 43% of the three larger ranges' combined volume. Its 14 members all carry the second JA4H fingerprint listed in this file, which marks the HTTP portion of the activity. Do not block at the ASN level."
