type,indicator,sessions,context
cve,CVE-2021-36260,636397,"Hikvision IP camera unauthenticated command injection. CVSS 9.8. CISA KEV. Carried-over source 93.123.72.183 (NL/AS206264 Amarutu/Koddos) grew its single-purpose /SDK/webLanguage probing; partner 204.76.203.206 from the 2026-06-15 documented pair returned to the top emitters and a new host 5.61.209.92 joined across the 204.76.203.0/24 block. Sessions = corpus-wide CVE-2021-36260 attempt tag."
cve,CVE-2025-48927,4558,"TeleMessage TM SGNL Spring Boot Actuator /heapdump credential disclosure. CVSS 5.3. CISA KEV (added 2025-06-30). Probed by 213.209.159.175; exposes process memory and embedded secrets via unauthenticated GET. Single top patch priority this cycle. Sessions = attempts observed from the one source."
cve,CVE-2024-29291,79464,"Laravel Framework credential leak via storage/logs/laravel.log. Probed by the German secrets-theft host 213.209.159.175 alongside dense .env, Git, AWS, and Spring Boot Actuator enumeration. Sessions = corpus-wide CVE-2024-29291 attempt tag."
cve,CVE-2021-41773,180271,"Apache HTTP Server 2.4.49/2.4.50 path traversal RCE. CVSS 7.5. CISA KEV. Sustained background probing. Sessions = corpus-wide CVE-2021-41773 attempt tag."
cve,CVE-2017-9841,806618,"PHPUnit Util/PHP/eval-stdin.php RCE. CVSS 9.8. CISA KEV. High-volume opportunistic probing. Sessions = corpus-wide CVE-2017-9841 attempt tag."
cve,CVE-2025-55182,342546,"React Server Components unsafe deserialization RCE. CISA KEV. Long-running, recurring high-volume probing tracked across many prior briefs. Sessions = corpus-wide CVE-2025-55182 attempt tag."
cve,CVE-1999-0526,802433,"X Server unauthenticated display connection. Sustained probing tail; legacy exposure check. Sessions = corpus-wide CVE-1999-0526 attempt tag."
cve,CVE-2012-1823,74584,"PHP CGI argument injection RCE. CISA KEV. Persistent. Sessions = corpus-wide CVE-2012-1823 attempt tag."
cve,CVE-2024-4577,74228,"PHP CGI argument injection (Windows Best-Fit). CVSS 9.8. CISA KEV. Persistent probing. Sessions = corpus-wide CVE-2024-4577 attempt tag."
cve,CVE-2021-32030,61668,"ASUS router broken authentication bypass. Persistent IoT credential-attack vector. Sessions = corpus-wide CVE-2021-32030 attempt tag."
domain,koddos[.]net,885829,"Provider/rDNS pattern on AS206264 (Amarutu Technology Ltd) hosting the carried-over Hikvision CVE-2021-36260 source 93.123.72.183 (NL) and the broadened source set; recurring infrastructure across briefs. Sessions = that host's total this week."
cidr,204.76.203.0/24,1100422,"NL block on the Hikvision operator's infrastructure, hosting the returned source 204.76.203.206 (541,004) plus 204.76.203.219 and 204.76.203.36. Block at perimeter with /SDK/webLanguage path detection fallback. Sessions = combined volume of the block's top emitters this week."
cidr,77.91.71.0/24,105020,"Top Cisco SSL VPN brute-force source block this week (6 IPs among the top emitters). Block at perimeter and pair with rate-limiting. Sessions = block volume among top emitters."
cidr,138.226.239.0/24,104239,"Cisco SSL VPN brute-force source block this week (4 IPs among the top emitters). Block at perimeter and pair with rate-limiting. Sessions = block volume among top emitters."
cidr,85.11.167.0/24,5697765,"AS197170 TechTies Inc. NL persistent scanner pair (85.11.167.11 + 85.11.167.7). Block at perimeter. Sessions = combined pair volume this week."
