type,indicator,sessions,context
ip,16.5.0.236,608088,"AS401661, Brazil, classified malicious. The Finding 3 lead source. Docker Scanner 63,132, 63.0% of all container daemon scanning GreyNoise observed this period, alongside Tomcat Manager Scanner 23,695 at 18.6%, Tomcat Manager Login Attempt 10,522 at 12.5% and Tomcat Manager Brute Force Attempt 204 at 9.3%. Three Jenkins remote code execution attempts and two attempts against CVE-2025-43989 also ran from it. Per-host restriction is worth applying; resolve it on its own record rather than blocking 16.5.0.0/24 as a range."
ip,37.111.53.110,1329175,"AS133385, Myanmar, classified malicious. Alternative-port SSH credential-attack source in the Persistent Activity Update. SSH Alternative Port Crawler 1,327,108 against SSH Connection Attempt 1,328,034, so effectively every SSH connection it opened went to a port other than 22. SSH Bruteforcer 2,710. It presents the shared SSH client fingerprint listed in this file."
ip,62.164.177.54,719851,"AS215929, Netherlands, classified malicious. Carried in this series since the 2026-07-06 brief. RDP Crawler 704,460, 12.7% of all Remote Desktop Protocol crawling in the corpus, alongside RDP Bruteforce Attempt 13,787 at 7.0%. It searches for Remote Desktop Protocol on arbitrary high ports instead of 3389, so a detection scoped to the default port does not see it. Declining against the 2026-09-14 brief on both behaviors."
ip,103.60.204.198,1113561,"AS150696, Bangladesh, classified malicious. Alternative-port SSH credential-attack source in the Persistent Activity Update. SSH Alternative Port Crawler 1,057,158 alongside SSH Bruteforcer 10,378. It presents the shared SSH client fingerprint listed in this file. Resolve it on its own record rather than at the network level."
ip,192.145.169.66,609611,"AS37371, Somalia, classified malicious. Alternative-port SSH credential-attack source in the Persistent Activity Update. SSH Alternative Port Crawler 549,571 alongside SSH Bruteforcer 10,025. It presents the shared SSH client fingerprint listed in this file. Resolve it on its own record rather than at the network level."
ip,213.209.159.154,612501,"AS208137, Germany, classified malicious. The 213.209.159.0/24 member named in the Persistent Activity Update. ENV Crawler 355,563 and Symfony Profiler Debug Mode RCE Attempt 9,982, 19.7% of the 50,594 GreyNoise observed on that behavior corpus-wide, alongside AWS Configuration Scanner 3,931 and Git Config Crawler 2,088. Per-host restriction is worth applying."
ip,217.60.255.130,1080641,"AS204203, Iran, classified malicious. Alternative-port SSH credential-attack source in the Persistent Activity Update. SSH Alternative Port Crawler 143,795 alongside SSH Bruteforcer 8,171. It presents the shared SSH client fingerprint listed in this file. Resolve it on its own record rather than at the network level."
asn,AS401661,2051229,"Brazil. Host network for 16.5.0.0/24, the container and Tomcat management sweep in Finding 3, at 72 active hosts this period. The sessions figure is that range's volume, not the network's. Do not block at the ASN level: resolve every member on its own GreyNoise record and key the durable control on the Docker Scanner and Tomcat Manager behavioral tags."
asn,AS202412,2830555,"Host network for 94.154.46.0/24, the nine-host forged crawler range in the Persistent Activity Update. The sessions figure is that range's volume, not the network's; the autonomous system carries other ranges this brief does not track. Do not block at the ASN level: key the durable control on the GoogleBot Pretender tag and verify every inbound Googlebot claim against the source address."
asn,AS208137,1814366,"Germany. Host network for 213.209.159.0/24, the secret and configuration file harvesting range carried in this series since the 2026-06-22 brief, at 44 active hosts this period. The sessions figure is that range's volume, not the network's. Do not block at the ASN level: the range mixes GreyNoise classifications across its members, so resolve every member on its own record."
fingerprint,JA4H ge11nn040000_08e7224bf8c7_000000000000_000000000000,711945,"Search: https://viz.greynoise.io/query/ja4h%3A%22ge11nn040000_08e7224bf8c7_000000000000_000000000000%22 . Shared JA4H HTTP client fingerprint carried by members of the 16.5.0.0/24 container and Tomcat management sweep in Finding 3. This is the full indexed value; match on all four fields. Corpus-wide connection attempts carrying this JA4H this period, across 851 sources. 70.5% of that volume came from 16.5.0.0/24 and 58.7% from 16.5.0.236 alone, so the value narrows a hunt without identifying a population. Group inbound requests to /manager/html and to 2375/tcp and 2376/tcp by this value as well as by source address. A shared fingerprint marks a tool class, not an operator, so treat it as a hunting pivot and never as attribution or a block candidate."
fingerprint,JA4H po11nn060000_2e962852b0ac_000000000000_000000000000,1633,"Search: https://viz.greynoise.io/query/ja4h%3A%22po11nn060000_2e962852b0ac_000000000000_000000000000%22 . JA4H HTTP client fingerprint behind most of the 20 September Spring Cloud Function step-up in Finding 1. This is the full indexed value; match on all four fields. Corpus-wide connection attempts carrying this JA4H this period, of which 1,630 were Spring Cloud Function CVE-2022-22963 attempts, across 300 sources. Every one of those 300 sources attempted that flaw, which makes the value narrow enough to hunt on. Group inbound requests to the Spring Cloud Function router endpoint by this value as well as by source address. A shared fingerprint marks a tool class, not an operator, so treat it as a hunting pivot and never as attribution or a block candidate."
fingerprint,HASSH bbd3df916ddc675cc91c127ab1a90657,1589,"Search: https://viz.greynoise.io/query/raw_data.hassh.fingerprint%3A%22bbd3df916ddc675cc91c127ab1a90657%22 . Shared SSH client fingerprint presented by all four of the alternative-port SSH credential-attack sources in the Persistent Activity Update: 37.111.53.110 (AS133385), 103.60.204.198 (AS150696), 192.145.169.66 (AS37371) and 217.60.255.130 (AS204203). Those four sit in four unrelated autonomous systems in four countries and produced 4,132,988 connection attempts between them and 31,284 on the SSH Bruteforcer behavior. The sessions figure is corpus-wide connection attempts carrying this HASSH this period. The fingerprint is broad: 334 sources carry it in a 10 day view and 13 of those are hosts GreyNoise classifies benign, so filter on classification before acting on a match. Group alternative-port SSH sources by this value where autonomous system grouping finds nothing. Treat it as a hunting pivot, never as attribution or a block candidate."
